City,Value
Berlin,3406000
Stuttgart,2944700
Frankfurt,2895000
Mannheim,2362000
Hamburg,1757000
Essen,1742135
Duisburg,1276757
Munich,1275000
Düsseldorf,1220000
Cologne,1004000
Wuppertal,776525
Saarbrücken,770001
Marienberg,737304
Bremen,724909
Hannover,722490
Bonn,680543
Dresden,617515
Wiesbaden,617126
Dortmund,588462
Leipzig,542529
Heidelberg,426590
Karlsruhe,377487
Augsburg,358989
Bielefeld,331906
Koblenz,312633
Altchemnitz,302643
Kassel,289924
Münster,270184
Kiel,26942
